BANGLADESH,Causeret, ambassadeur,31 décembre 2007.
BARBADE,Le Mintier de Lehelec, ambassadeur,29 février 1968.
BARBADE,Chollet, ambassadeur,19 mars 1975.
BARBADE,De Choiseul-Praslin, ambassadeur,21 septembre 1979.
BARBADE,Claude-Lafontaine, ambassadrice,4 janvier 1983.
BARBADE,Le Cannellier, ambassadeur,15 juin 1984.
BARBADE,Debenest, ambassadrice,22 juin 1987.
BARBADE,Nardin, ambassadeur,28 août 1991.
BARBADE,Ariola, ambassadeur,19 juillet 1995.
BARBADE,Girma, ambassadeur,31 août 1999.
BARBADE,Causeret, ambassadeur,13 juillet 2004.
BARBADE,Trinquier, ambassadeur,12 décembre 2008.
BELGIQUE,Brug�re, ambassadeur,4 octobre 1944.
BELGIQUE,De Hautecloque, ambassadeur,16 décembre 1947.
BELGIQUE,Rivi�re, ambassadeur,13 mai 1952.
BELGIQUE,Bousquet, ambassadeur,7 juillet 1956.
BELGIQUE,Lacoste, ambassadeur,15 mars 1962.
BELGIQUE,Spitzmuller, ambassadeur,18 novembre 1963.
BELGIQUE,De Crouy- Chanel (�tienne), ambassadeur,29 septembre 1965.
BELGIQUE,Begougne de Juniac, ambassadeur,6 avril 1970.
BELGIQUE,Hur�, ambassadeur,25 juillet 1973.
BELGIQUE,Vaurs, ambassadeur,19 février 1980.
BELGIQUE,Thibau, ambassadeur,25 février 1983.
BELGIQUE,Audibert, ambassadeur,11 mars 1986.
BELGIQUE,Lecompt, ambassadeur,12 novembre 1986.
BELGIQUE,Du Cauz� de Nazelle, ambassadeur,7 avril 1988.
BELGIQUE,Pierret, ambassadeur,9 octobre 1991.
BELGIQUE,Berni�re, ambassadeur,15 septembre 1993.
BELGIQUE,Rummerlhardt, ambassadeur,17 décembre 1997.
BELGIQUE,Bourgois, ambassadrice,22 janvier 2003.
BELGIQUE,Boche, ambassadeur,18 juin 2007.
BELGIQUE,Boccoz, ambassadrice,24 septembre 2009.
BELIZE,Chauvet, ambassadeur,5 janvier 1982.
BELIZE,Rouqui�, ambassadeur,4 décembre 1985.
BELIZE,Fortuit, ambassadeur,22 juin 1988.
BELIZE,Le Paudert, ambassadeur,7 mai 1991.
BELIZE,Dantec, ambassadrice,20 janvier 1997.
BELIZE,Gazarian, ambassadrice,29 septembre 1999.
BELIZE,Roudi�re, ambassadeur,12 février 2004.
BELIZE,Kreiss, ambassadrice,2 février 2009.
BÉNIN,Van Grevenynghe, ambassadeur,23 juin 1972.
BÉNIN,Meadmore, ambassadeur,12 octobre 1976.
BÉNIN,D�camps, ambassadeur,18 octobre 1978.
BÉNIN,Homo (Hugues), ambassadeur,25 janvier 1982.
BÉNIN,Gendreau, ambassadeur,24 septembre 1984.
BÉNIN,Azais, ambassadeur,6 mars 1989.
