LISTE CHRONOLOGIQUE;;;
;;;
DES AMBASSADEURS, ENVOYÉS EXTRAORDINAIRES,;;;
;;;
MINISTRES PLÉNIPOTENTIAIRES;;;
;;;
ET CHARGÉS D'AFFAIRES DE FRANCE À L'ÉTRANGER;;;
;;;
DEPUIS 1945;;;
;;mise à jour : 25/02/2011;
;;;

AFGHANISTAN;;;

;Padovani, ambassadeur;11 juin 1949.
;Roché, ambassadeur;10 octobre 1952.
;Sivan, ambassadeur;25 novembre 1955.
;Monod (Philippe), ambassadeur;28 juillet 1960.
;Brière, ambassadeur;15 mars 1963.
;Favereau, ambassadeur;28 mars 1967.
;Van Laethem, ambassadeur;18 janvier 1971.
;Tréca, ambassadeur;7 mai 1975.
;Carraud, ambassadeur;27 juillet 1978.
;Mérimée, ambassadeur;10 décembre 1981.
;Follin, ambassadeur;23 mai 1985.
;Duzer, ambassadeur;24 février 1988.
;Baude, ambassadeur;18 février 1991.
;Girard, ambassadeur;20 mars 1995.
;Viaux, ambassadeur;18 janvier 2000.
MM.;Henault, ambassadeur;3 juillet 2003.
;Descoueyte, ambassadeur;26 septembre 2005.
;Filhol, ambassadeur;5 juillet 2008.

AUTRICHE;;

MM.;De Monicault, chargé de la Légation;5 juillet 1946.
;Le même, envoyé extraordinaire et ministre plénipotentiaire;24 août 1946.
;Payart, ambassadeur de France, chef de la mission diplomatique;30 octobre 1950.
;Le même, ambassadeur;15 décembre 1951.
;Chauvel, ambassadeur;19 janvier 1955.
;Seydoux de Clausonne (François), ambassadeur;18 août 1955.
;De Crouy-Chanel (Étienne), ambassadeur;15 septembre 1958.
;Brouillet, ambassadeur;28 juillet 1961.
;Roché (Louis), ambassadeur;17 décembre 1963.
;Leduc, ambassadeur;5 décembre 1968.
;Jordan, ambassadeur;7 novembre 1973.
;Gaucher, ambassadeur;5 novembre 1975.
;Schricke (Jacques), ambassadeur;30 août 1978.
;Bressier (Raymond), ambassadeur;12 mai 1981.
;Audibert, ambassadeur;19 mai 1983.
;Bastide, ambassadeur;23 avril 1985.
;Noiville, ambassadeur ;7 décembre 1988.
;Lewin, ambassadeur;21 juin 1991.
Mme;De Hartingh, ambassadrice;2 avril 1996.
MM.;Cadet, ambassadeur;28 novembre 1997.
;Catta, ambassadeur;19 octobre 2001.
;Viaux, ambassadeur;13 janvier 2005.
;Carré, ambassadeur;1er octobre 2008.

AZERBAÏDJAN;;

MM.;Perrin (Jean), ambassadeur;21 avril 1992.
;Guinhut, ambassadeur;9 mai 1996.
Mme;Poiret, ambassadrice;24 août 2001.
MM.;Blatmann, ambassadeur;10 juin 2004.
;Amaudric du Chaffaut, ambassadeur;28 février 2006.
;Keller, ambassadeur;1er juillet 2008.

BAHAMAS;;

MM.;Garès, ambassadeur;6 novembre 1974.
;Mistral, ambassadeur;21 septembre 1979.
;Massenet, ambassadeur;24 septembre 1982.
;Reuillard, ambassadeur;14 mai 1986.
;Amiot, ambassadeur;28 août 1991.
;Vinson, ambassadeur;11 avril 1994.
;Vidal (Henri), ambassadeur;15 septembre 1997.
MM.;Deniau (François-Xavier), ambassadeur;2 juillet 1998.
;Berniard, ambassadeur;30 août 2000.
;Hurtut, ambassadeur;16 octobre 2004.
;Gendry, ambassadeur;25 novembre 2008.

BAHREÏN;;
(Représentation assumée antérieurement par l'ambassadeur de France au Koweit);;

MM.;Carton, ambassadeur;19 avril 1972.
;Bourgoin, ambassadeur;16 janvier 1974.
;Fougerouse, ambassadeur;27 septembre 1977.
;Molinari, ambassadeur;16 septembre 1981.
;Justinard, ambassadeur;23 août 1984.
;Boillot, ambassadeur;11 avril 1988.
;Pavec, ambassadeur;1er avril 1992.
;Duquin, ambassadeur;17 septembre 1996.
Mmes;Limido, ambassadrice;27 avril 2001.
;Bérak, ambassadrice;16 septembre 2004.
M.;Oudin, ambassadeur;3 septembre 2008.

BANGLADESH;;

MM.;Millet (Pierre), ambassadeur;17 mars 1972.
;Duvauchelle, ambassadeur;10 janvier 1975.
;Moreau (Louis), ambassadeur;30 août 1978.
;Le Caruyer de Beauvais (Samuel), ambassadeur;5 octobre 1982.
;Filliol, ambassadeur;27 novembre 1985.
;Degallaix, ambassadeur;12 décembre 1989.
;Lacombe, ambassadeur;12 novembre 1992.
Mme;Veyret, ambassadrice;16 novembre 1995.
MM.;Briottet, ambassadeur;7 octobre 1999.
;Lummaux, ambassadeur;12 septembre 2000.
;Costilhes, ambassadeur;6 octobre 2004.
;Causeret, ambassadeur;31 décembre 2007.

BARBADE;;

MM.;Le Mintier de Lehelec, ambassadeur;29 février 1968.
;Chollet, ambassadeur;19 mars 1975.
;De Choiseul-Praslin, ambassadeur;21 septembre 1979.
Mlle;Claude-Lafontaine, ambassadrice;4 janvier 1983.
M.;Le Cannellier, ambassadeur;15 juin 1984.
Mlle;Debenest, ambassadrice;22 juin 1987.
MM.;Nardin, ambassadeur;28 août 1991.
;Ariola, ambassadeur;19 juillet 1995.
;Girma, ambassadeur;31 août 1999.
;Causeret, ambassadeur;13 juillet 2004.
;Trinquier, ambassadeur;12 décembre 2008.

BELGIQUE;;

MM.;Brugère, ambassadeur;4 octobre 1944.
;De Hautecloque, ambassadeur;16 décembre 1947.
;Rivière, ambassadeur;13 mai 1952.
;Bousquet, ambassadeur;7 juillet 1956.
;Lacoste, ambassadeur;15 mars 1962.
;Spitzmuller, ambassadeur;18 novembre 1963.
;De Crouy- Chanel (Étienne), ambassadeur;29 septembre 1965.
;Begougne de Juniac, ambassadeur;6 avril 1970.
;Huré, ambassadeur;25 juillet 1973.
;Vaurs, ambassadeur;19 février 1980.
;Thibau, ambassadeur;25 février 1983.
;Audibert, ambassadeur;11 mars 1986.
;Lecompt, ambassadeur;12 novembre 1986.
;Du Cauzé de Nazelle, ambassadeur;7 avril 1988.
;Pierret, ambassadeur;9 octobre 1991.
;Bernière, ambassadeur;15 septembre 1993.
;Rummerlhardt, ambassadeur;17 décembre 1997.
Mme;Bourgois, ambassadrice;22 janvier 2003.
M.;Boche, ambassadeur;18 juin 2007.
Mme;Boccoz, ambassadrice;24 septembre 2009.

BÉLIZE;;

MM.;Chauvet, ambassadeur;5 janvier 1982.
;Rouquié, ambassadeur;4 décembre 1985.
;Fortuit, ambassadeur;22 juin 1988.
;Le Paudert, ambassadeur;7 mai 1991.
Mlle;Dantec, ambassadrice;20 janvier 1997.
Mme;Gazarian, ambassadrice;29 septembre 1999.
M.;Roudière, ambassadeur;12 février 2004.
Mme ;Kreiss, ambassadrice;2 février 2009.

BÉNIN;;
(Antérieurement voir : Dahomey);;

MM.;Van Grevenynghe, ambassadeur;23 juin 1972.
;Meadmore, ambassadeur;12 octobre 1976.
;Décamps, ambassadeur;18 octobre 1978.
;Homo (Hugues), ambassadeur;25 janvier 1982.
;Gendreau, ambassadeur;24 septembre 1984.
;Azais, ambassadeur;6 mars 1989.
;Taix, ambassadeur;13 juillet 1992.
Mme;Boivineau, ambassadrice;6 octobre 1994.
MM.;Courbin (Jacques), ambassadeur;30 décembre 1997.
;Mimin, ambassadeur;23 juin 2000.
;Daziano, ambassadeur;26 octobre 2003.
;Besancenot (Hervé), ambassadeur;6 juillet 2007.

BIÉLORUSSIE;;

MM.;Jolif, ambassadeur;22 avril 1992.
;Fassier, ambassadeur;23 juin 1997.
;Chmelewsky, ambassadeur;7 octobre 2002.
Mme;Musso, ambassadrice;16 janvier 2007.
M.;Raineri, ambassadeur;29 décembre 2009.

BIRMANIE;;

MM.;Raoul-Duval, ministre résident;17 mars 1948.
;Plion-Bernier, ministre résident;15 février 1950.
;Le même, envoyé extraordinaire et ministre plénipotentiaire;30 août 1951.
;Belle, envoyé extraordinaire et ministre plénipotentiaire;20 août 1952.
;Salade, envoyé extraordinaire et ministre plénipotentiaire;13 juin 1956.
;Favereau, envoyé extraordinaire et ministre plénipotentiaire;9 décembre 1959.
;Morel-Francoz, envoyé extraordinaire et ministre plénipotentiaire;2 août 1961.
;Le même, ambassadeur;13 janvier 1962.
;Millet (René), ambassadeur;5 avril 1965.
;Péres, ambassadeur;20 janvier 1970.
;Yver de La Bruchollerie, ambassadeur;23 octobre 1972.
;Geoffroy, ambassadeur;27 juillet 1976.
;De Camaret, ambassadeur;22 décembre 1977.
;Cadol, ambassadeur;12 février 1980.
;Rodrigue, ambassadeur;5 mars 1984.
;Sidre, ambassadeur;13 mai 1987.
;Briottet, ambassadeur;4 août 1990.
;Pottier, ambassadeur;21 septembre 1994.
;Amaudric du Chaffaut, ambassadeur;7 juin 1999.
;Lacombe, ambassadeur;11 octobre 2003.
;Lafosse, ambassadeur;29 juin 2007.
;Mathou, ambassadeur;30 septembre 2010.

BOLIVIE;;

MM.;Lescuyer, délégué du Gouvernement provisoire;20 avril 1944.
;De Sieyès, envoyé extraordinaire et ministre plénipotentiaire ;30 octobre 1945.
;Morand, envoyé extraordinaire et ministre plénipotentiaire;4 novembre 1948.
;Fain, ambassadeur;24 janvier 1950.
;Teissier, ambassadeur;20 août 1952.
;Marcotte de Sainte- Marie, ambassadeur;18 mai 1957.
;Leroy-Beaulieu, ambassadeur;12 mars 1960.
;Georgy, ambassadeur;30 mai 1960.
;Ponchardier, ambassadeur;14 mars 1964.
;Lambroschini, ambassadeur;27 mars 1968.
;Mandereau, ambassadeur;26 avril 1971.
;Morel (Jean), ambassadeur;18 janvier 1977.
;Césaire, ambassadeur;27 décembre 1979.
;Guisset, ambassadeur;18 avril 1983.
;Mutter, ambassadeur;16 juin 1986.
;Vidal (Henri), ambassadeur;1er août 1990.
MM.;Marlaud, ambassadeur;12 septembre 1994.
;Dumont (Gérard), ambassadeur;21 octobre 1998.
Mmes;Le Bihan, ambassadrice;12 octobre 2001.
;Limido, ambassadrice;21 octobre 2004.
MM.;Fouquet, ambassadeur;7 décembre 2005.
;Grassin, ambassadeur;8 septembre 2008.

BOSNIE - HERZÉGOVINE;;

MM.;Jacolin, ambassadeur;21 janvier 1993.
;Gaudeul, ambassadeur;16 novembre 1995.
;Bajolet, ambassadeur;31 août 1999.
;Zipper de Fabiani, ambassadeur;25 août 2003.
Mme;Berniau, ambassadrice;3 juillet 2006.
;Gilles, ambassadeur;17 juin 2010.

BOTSWANA;;

MM.;De Schonen, ambassadeur;2 février 1967.
;Hutt, ambassadeur;16 janvier 1970.
;Le Saige de La Villesbrune, ambassadeur ;3 juin 1972.
;Français, ambassadeur;18 février 1976.
;Gasseau, ambassadeur ;3 octobre 1979.
;Plattard, ambassadeur;24 janvier 1984.
;Guyot, ambassadeur;10 avril 1987.
;Cornée, ambassadeur;29 juin 1990.
;Brouste, ambassadeur ;7 mai 1993.
;Baleine du Laurens, ambassadeur;16 novembre 1995.
;Berg, ambassadeur;20 novembre 1998.
;Coulont, ambassadeur;13 juillet 2001.
;Courtois, ambassadeur;24 février 2006.
Mme;Iancu, ambassadrice;8 juillet 2008.

BRÉSIL;;

MM.;le général d'Astier de La Vigerie, ambassadeur;21 novembre 1944.
;Guérin (Hubert), ambassadeur;18 juin 1946.
;Arvengas, ambassadeur;5 octobre 1949.
;Hardion, ambassadeur;17 décembre 1953.
;Baeyens (Jacques), ambassadeur;6 septembre 1960.
;Sébilleau (Pierre), ambassadeur;5 juin 1964.
;Dufresne de La Chauvinière, ambassadeur;19 septembre 1964.
;Sébilleau, ambassadeur;1er février 1965.
;Binoche, ambassadeur;3 novembre 1965.
;Lefebvre de Laboulaye, ambassadeur;31 octobre 1968.
;Fouchet (Paul), ambassadeur;18 janvier 1972.
;Legendre (Michel), ambassadeur;14 avril 1975.
;Béliard, ambassadeur;19 septembre 1977.
;Richard (Robert), ambassadeur;5 mai 1981.
;Dorin, ambassadeur;23 août 1984.
;Cuvillier, ambassadeur;15 juillet 1987.
MM.;Ouvrieu, ambassadeur;14 juin 1989.
;Lévêque, ambassadeur;6 mars 1993.
;Lecourtier, ambassadeur;29 décembre 1994.
;Rouquié, ambassadeur;31 décembre 1999.
;De Gliniasty, ambassadeur;12 octobre 2003.
;Pouillieute, ambassadeur;31 octobre 2006.
;Saint-Geours, ambassadeur;24 novembre 2009.

BRUNEI;;

MM.;Marandet, ambassadeur extraordinaire et plénipotentiaire;20 février 1984.
;Bernière, ambassadeur;22 août 1984.
;Amiot, ambassadeur ;7 novembre 1985.
;Momal, ambassadeur;14 janvier 1991.
;Bardollet, ambassadeur;21 septembre 1994.
;Lafosse (Jean-Pierre, François), ambassadeur;25 novembre 1998.
;Borja de Mozota, ambassadeur;1er février 2002.
;Bonneville, ambassadeur;8 juillet 2005.
;Le Vert, ambassadeur;26 juillet 2008.

BULGARIE;;

MM.;Hateau, délégué du Gouvernement provisoire ;11 octobre 1944.
;Paris (Jacques-Émile), envoyé extraordinaire et ministre plénipotentiaire;20 août 1945.
;Baudier, envoyé extraordinaire et ministre plénipotentiaire;5 septembre 1950.
;De Beausse, envoyé extraordinaire et ministre plénipotentiaire;12 juin 1956.
;Coiffard, envoyé extraordinaire et ministre plénipotentiaire;23 mars 1961.
;Le même, ambassadeur;30 décembre 1963.
;Mazoyer, ambassadeur;14 août 1964.
;Fontaine, ambassadeur;13 février 1969.
;Le Gourriérec, ambassadeur;24 novembre 1971.
Mlle;Malitchenko, ambassadrice;9 décembre 1975.
MM.;Barbier, ambassadeur;24 avril 1980.
;Le Breton (Jean-Marie), ambassadeur;22 avril 1983.
;De Guilhem de Lataillade, ambassadeur;13 juin 1986.
;Rummelhardt, ambassadeur;29 mai 1990.
;Daillet, ambassadeur;29 mars 1993.
;Trémeau, ambassadeur;2 février 1995.
;Chassard, ambassadeur;16 février 1999.
;Kuhn-Delforge, ambassadeur;18 juillet 2001.
;Saint-Geours, ambassadeur;20 août 2004.
;De Montaigne de Poncins, ambassadeur;19 juin 2007.
;Autié, ambassadeur;7 septembre 2010.

BURKINA;;
(Antérieurement voir : Haute-Volta);;

MM.;Le Blanc, ambassadeur;30 novembre 1983.
;Deschamps, ambassadeur;7 juillet 1987.
;Simon (Gérard), ambassadeur;4 novembre 1992.
;Cousin, ambassadeur;26 septembre 1995.
;Portiche, ambassadeur;8 avril 1999.
;Blondet, ambassadeur;25 août 2003.
;Goldblatt, ambassadeur;14 octobre 2006.
;Beth, ambassadeur;25 août 2010.

BURUNDI;;

MM.;Barbey, ambassadeur;1er juillet 1962.
;Yver de La Bruchollerie, ambassadeur;18 novembre 1966.
;Bernard (Henri), ambassadeur;25 octobre 1972.
;Moreau (René), ambassadeur;24 septembre 1976.
;Fevre, ambassadeur;13 juillet 1979.
;Rey-Coquais, ambassadeur;7 juin 1982.
;Rigouzzo, ambassadeur;7 mars 1986.
;Causse, ambassadeur;22 novembre 1989.
;Crépin-Leblond, ambassadeur;17 février 1993.
;Lajaunie, ambassadeur;5 janvier 1995.
;Daziano, ambassadeur;19 octobre 1999.
;Girma, ambassadeur;19 novembre 2003.
;Louvet, ambassadeur;12 juillet 2006.
;Lamy, ambassadeur;30 juin 2010.

CAMBODGE;;

MM.;Gorce (Pierre), ambassadeur;12 novembre 1956.
;De Beausse (Jean), ambassadeur;28 février 1961.
;Argod (Hubert), ambassadeur;23 janvier 1964.
;Dauge, ambassadeur;10 mai 1968.
;Serre, chargé d'affaires a.i;18 juillet 1971.
;Pavec, chargé d'affaires a.i;23 octobre 1973.
;;
(Il n'y a pas eu d'agent diplomatique à Phnom-Penh de mai 1975 à octobre 1991);;

MM.;Coste (Philippe), ambassadeur;3 octobre 1991.
;Le Lidec, ambassadeur;14 février 1994.
;Libourel, ambassadeur;24 juillet 1998.
;Roe d’Albert, ambassadeur;22 novembre 2003.
;Desmazières, ambassadeur;5 juin 2007.
;Connan, ambassadeur;21 octobre 2010.

CAMEROUN;;

MM.;Benard, ambassadeur extraordinaire et plénipotentiaire, envoyé exceptionnel;1er janvier 1960.
;Huré (Francis), ambassadeur;1er juin 1965.
;Rebeyrol, ambassadeur;22 avril 1968.
;Dupuy (Jacques), ambassadeur;20 mars 1972.
